beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Cuvée ‘t Huusses Mins (2021-)","Hosenhym Bierbrouwers","Belgian Quadrupel",11,40,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2023-01-14 23:36:51",https://api.untappd.com/c/1239957012,https://api.untappd.com/beer/4276483,https://api.untappd.com/brewery/260462,Netherlands,Huissen,Gelderland,"whisky,oak,sweet,alcoholic",,Bottle,1239957012,4276483,260462,https://untappd.s3.amazonaws.com/photos/2023_01_14/1a9c086111cbad301cfee28d0415a7eb_raw.jpg,3.59,3.63,,2,0
"Tripel Karmeliet","Brouwerij Bosteels","Belgian Tripel",8.4,16,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.75,"2023-01-21 20:25:46",https://api.untappd.com/c/1241642762,https://api.untappd.com/beer/6511,https://api.untappd.com/brewery/269,Belgium,Buggenhout,Vlaanderen,"smooth,sweet",,Bottle,1241642762,6511,269,https://untappd.s3.amazonaws.com/photos/2023_01_21/21104fb004f77a8d8b0729945f6bb603_raw.jpg,3.99,3.99,,3,0
"Steenbrugge Dubbel Bruin","Brouwerij Palm","Belgian Dubbel",6.5,23,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.25,"2023-01-25 21:38:12",https://api.untappd.com/c/1242567238,https://api.untappd.com/beer/16648,https://api.untappd.com/brewery/967,Belgium,Londerzeel,"Vlaams Gewest","light bodied,smooth",,Bottle,1242567238,16648,967,https://untappd.s3.amazonaws.com/photos/2023_01_25/fd21f13a0b800eca9a91011e86664f85_raw.jpg,3.33,3.34,,2,0
"Maple x Vanilla Imperial Milk Stout","Ārpus Brewing Co.","Stout - Imperial / Double Milk",12,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2023-01-26 16:45:42",https://api.untappd.com/c/1242680830,https://api.untappd.com/beer/4785416,https://api.untappd.com/brewery/380185,Latvia,Eimuri,"Ādažu novads","maple,vanilla,coffee",,Can,1242680830,4785416,380185,https://untappd.s3.amazonaws.com/photos/2023_01_26/9e2d237a8f677ee11c275ae1bf1cbdf3_raw.jpg,4.17,4.1,"Kevin Schomper",2,0
"Blackout Madness",Mannenpap,"Stout - Russian Imperial",10.5,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.75,"2023-01-26 18:32:50",https://api.untappd.com/c/1242695358,https://api.untappd.com/beer/3638718,https://api.untappd.com/brewery/323251,Netherlands,Nijmegen,Gelderland,"coffeeish,dark,sweet",,Bottle,1242695358,3638718,323251,https://untappd.s3.amazonaws.com/photos/2023_01_26/b5b772e6fc9b09fd00abe664abf804a4_raw.jpg,3.8,3.8,"Kevin Schomper",3,0
"Blueberry Ale","Pump House Brewery ","Fruit Beer",5,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.5,"2023-01-27 17:29:04",https://api.untappd.com/c/1242905873,https://api.untappd.com/beer/7697,https://api.untappd.com/brewery/2044,Canada,Moncton,NB,"fruity,blueberry,sweet,light bodied",,Can,1242905873,7697,2044,https://untappd.s3.amazonaws.com/photos/2023_01_27/585a7bd8b12a765eac68cf35061d988c_raw.jpg,3.46,3.46,"Kevin Schomper,Stefan Jansen,Marcel van Heerdt,Roy van den Berg,dirk lukassen",2,0
"Crafty Radler: Tart Cherry & Blueberry","Pump House Brewery ","Shandy / Radler",4.7,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.5,"2023-01-27 17:59:22",https://api.untappd.com/c/1242915080,https://api.untappd.com/beer/4781385,https://api.untappd.com/brewery/2044,Canada,Moncton,NB,"cherry,candy,sweet,bubblegum",,Can,1242915080,4781385,2044,https://untappd.s3.amazonaws.com/photos/2023_01_27/c6279e0f1a955880ae3299e88dd49d65_raw.jpg,3.25,3.31,"Stefan Jansen,Marcel van Heerdt,Kevin Schomper,dirk lukassen,Roy van den Berg,Jasper Wesselink,Raymond Hildering",2,0
"'n Diquen Blueberry Chocolate Stout 2022","Fightstreet Brewery","Stout - Russian Imperial",9,50,"Bierrr 👍 stout",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.75,"2023-01-27 20:01:02",https://api.untappd.com/c/1242967556,https://api.untappd.com/beer/5140636,https://api.untappd.com/brewery/407215,Netherlands,Ulft,Gelderland,"chocolate,coffeeish,soft",,,1242967556,5140636,407215,https://untappd.s3.amazonaws.com/photos/2023_01_27/110881fb70e6302d255118e00dc48e2e_raw.jpg,3.63,3.65,"Stefan Jansen,Marcel van Heerdt,Kevin Schomper",2,0
"Now That's What I Call Juicy, Vol. 1","Sudden Death Brewing Co.","Sour - Smoothie / Pastry",5,0,"What the fuck
Smaakt naar een appelmoes smoothie
Nog steeds beter dan Heineken",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.25,"2023-01-27 21:06:05",https://api.untappd.com/c/1243004269,https://api.untappd.com/beer/4823888,https://api.untappd.com/brewery/271009,Germany,Lübeck,Schleswig-Holstein,"banana,kiwi,fruity,thick",,Can,1243004269,4823888,271009,https://untappd.s3.amazonaws.com/photos/2023_01_27/36b02d0d001ee93aee72fff5468d27e7_raw.jpg,3.93,3.89,"Stefan Jansen,Marcel van Heerdt,Kevin Schomper",2,0
"TDH Citra Lupomax DIPA","Ārpus Brewing Co.","IPA - Imperial / Double New England / Hazy",8.5,0,"Thanks Aniek #NewYorkPizza #4Uur",Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.75,"2023-01-27 22:11:39",https://api.untappd.com/c/1243044530,https://api.untappd.com/beer/4951948,https://api.untappd.com/brewery/380185,Latvia,Eimuri,"Ādažu novads","juicy,fruity,dank",,Can,1243044530,4951948,380185,https://untappd.s3.amazonaws.com/photos/2023_01_27/15f17cd8278b1a782da56e57b68ecccb_raw.jpg,4.02,3.98,"Marcel van Heerdt,Kevin Schomper,Stefan Jansen",2,0
